HOSTKEY,NAME,DEPARTMENT,STATUS,DESCRIPTION,AUDIT_ACTION,AUDIT_STAMP,IN_TRANSFER,SEMESTER,DATA_FLOW,UNIT_CREDIT,ATTRIBUTES,PLANNEDSIZE,NAMED_GROUP,DEPARTMENT_NAME,UNITOFFERINGID
BAA321_H_SEM1_I,BAA321_H_S1_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM01,S,25,BAA321|1|H|SEM01|1,0,T1SM,TSBE,175969
BAA321_H_SEM2_I,BAA321_H_S2_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM02,S,25,BAA321|1|H|SEM02|1,0,T1SM,TSBE,175971
BAA321_H_SPR_I,BAA321_H_S5_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SPR03,S,25,BAA321|1|H|SPR03|1,0,T1SM,TSBE,175973
BAA321_L_SEM2_I,BAA321_L_S2_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM02,S,25,BAA321|1|L|SEM02|1,0,T1SM,TSBE,175975
BAA321_L_SPR_I,BAA321_L_S5_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SPR03,S,25,BAA321|1|L|SPR03|1,0,T1SM,TSBE,175976
BAA321_W_SEM2_I,BAA321_W_S2_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM02,S,25,BAA321|1|W|SEM02|1,0,T1SM,TSBE,175967
BAA321_W_SPR_I,BAA321_W_S5_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SPR03,S,25,BAA321|1|W|SPR03|1,0,T1SM,TSBE,175968
BAA322_H_SEM1_I,BAA322_H_S1_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA322|1|H|SEM01|1,0,T1SM,TSBE,175979
BAA322_H_SEM2_I,BAA322_H_S2_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA322|1|H|SEM02|1,0,T1SM,TSBE,175981
BAA322_H_SPR_I,BAA322_H_S5_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SPR03,S,12.5,BAA322|1|H|SPR03|1,0,T1SM,TSBE,175983
BAA322_L_SEM2_I,BAA322_L_S2_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA322|1|L|SEM02|1,0,T1SM,TSBE,175985
BAA322_L_SPR_I,BAA322_L_S5_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SPR03,S,12.5,BAA322|1|L|SPR03|1,0,T1SM,TSBE,175986
BAA322_W_SEM2_I,BAA322_W_S2_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA322|1|W|SEM02|1,0,T1SM,TSBE,175977
BAA322_W_SPR_I,BAA322_W_S5_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SPR03,S,12.5,BAA322|1|W|SPR03|1,0,T1SM,TSBE,175978
BAA323_H_SEM1_I,BAA323_H_S1_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA323|1|H|SEM01|1,0,T1SM,TSBE,175989
BAA323_H_SEM2_I,BAA323_H_S2_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA323|1|H|SEM02|1,0,T1SM,TSBE,175991
BAA323_H_SPR_I,BAA323_H_S5_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SPR03,S,12.5,BAA323|1|H|SPR03|1,0,T1SM,TSBE,175993
BAA323_L_SEM2_I,BAA323_L_S2_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA323|1|L|SEM02|1,0,T1SM,TSBE,175995
BAA323_L_SPR_I,BAA323_L_S5_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SPR03,S,12.5,BAA323|1|L|SPR03|1,0,T1SM,TSBE,175996
BAA323_W_SEM2_I,BAA323_W_S2_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA323|1|W|SEM02|1,0,T1SM,TSBE,175987
BAA323_W_SPR_I,BAA323_W_S5_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SPR03,S,12.5,BAA323|1|W|SPR03|1,0,T1SM,TSBE,175988
BAA506_W_SEM2_I,BAA506_W_S2_I,BBE,Y,Learning Through Practice A (Workplace),U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA506|1|W|SEM02|1,0,T1SM,TSBE,173948
BAA514_H_SEM1_I,BAA514_H_S1_I,BBE,Y,Workplace Literacy,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA514|1|H|SEM01|1,0,T1SM,TSBE,173953
BAA515_W_WIN_I,BAA515_W_S4_I,BBE,Y,Financial Decision Making for Managers,U,28/07/2016 13:57:56,0,WIN03,S,12.5,BAA515|1|W|WIN03|1,0,T1SM,TSBE,173954
BAA516_W_SEM2_I,BAA516_W_S2_I,BBE,Y,Governance and Partnerships,U,28/07/2016 13:57:56,0,5TP13,S,12.5,BAA516|1|W|5TP13|1,0,T1SM,TSBE,173956
BAA517_W_SEM2_I,BAA517_W_S2_I,BBE,Y,Innovation and Entrepreneurship in Regions,U,28/07/2016 13:57:56,0,5TP12,S,12.5,BAA517|2|W|5TP12|1,0,T1SM,TSBE,173958
BAA518_W_SEM1_I,BAA518_W_S1_I,BBE,Y,Leading value stream transformation and change,U,28/07/2016 13:57:56,0,8TP01,S,12.5,BAA518|1|W|8TP01|1,0,T1SM,TSBE,173960
BAA519_W_SEM1_I,BAA519_W_S1_I,BBE,Y,Lean Thinking and Practice,U,28/07/2016 13:57:56,0,5TP05,S,12.5,BAA519|1|W|5TP05|1,0,T1SM,TSBE,173962
BAA521_W_SEM2_I,BAA521_W_S2_I,BBE,Y,"Process Engineering, Improvement & Innovation",U,28/07/2016 13:57:56,0,8TP02,S,12.5,BAA521|1|W|8TP02|1,0,T1SM,TSBE,173966
BAA524_W_WIN_I,BAA524_W_S4_I,BBE,Y,Regional Development Theory and Practice,U,28/07/2016 13:57:56,0,WIN03,S,12.5,BAA524|1|W|WIN03|1,0,T1SM,TSBE,173973
BAA527_W_SEM2_I,BAA527_W_S2_I,BBE,Y,Lean Management Project,U,28/07/2016 13:57:56,0,12P01,S,12.5,BAA527|1|W|12P01|1,0,T1SM,TSBE,173976
BAA536_V_SEM1_I,BAA536_V_S1_I,BBE,Y,Health Information Service Management,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA536|1|V|SEM01|1,0,T1SM,TSBE,173977
BAA606_H_SEM2_I,BAA606_H_S2_I,BBE,Y,Workplace Communication,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA606|1|H|SEM02|1,0,T1SM,TSBE,173980
BAA607_V_SEM1_I,BAA607_V_S1_I,BBE,Y,Safety in Health Service Management,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA607|1|V|SEM01|1,0,T1SM,TSBE,173981
BAA622_H_OTHER_I,BAA622_H_OTHER_I,BBE,Y,Advanced Theoretical Concepts in Aviation,U,28/07/2016 13:57:56,0,HYP01,S,12.5,BAA622|1|H|HYP01|1,0,T1SM,TSBE,173983
BAA623_H_OTHER_I,BAA623_H_OTHER_I,BBE,Y,Advanced Aviation Practice,U,28/07/2016 13:57:56,0,HYP01,S,12.5,BAA623|1|H|HYP01|1,0,T1SM,TSBE,173985
BAA624_H_OTHER_I,BAA624_H_OTHER_I,BBE,Y,Advanced Integrated Theory and Practice in Aviation,U,28/07/2016 13:57:56,0,HYP01,S,12.5,BAA624|1|H|HYP01|1,0,T1SM,TSBE,173987
BAA700_H_SEM2_I,BAA700_H_S2_I,BBE,Y,Flight Instructor Rating,U,28/07/2016 13:57:56,0,12P01,S,12.5,BAA700|1|H|12P01|1,0,T1SM,TSBE,173990
BAA700_H_SUM_I,BAA700_H_S3_I,BBE,Y,Flight Instructor Rating,U,28/07/2016 13:57:56,0,11P01,S,12.5,BAA700|1|H|11P01|1,0,T1SM,TSBE,173989
BAA704_H_SEM1_I,BAA704_H_S1_I,BBE,Y,Research Methods and Analysis,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA704|1|H|SEM01|1,0,T1SM,TSBE,173997
BAA705_H_SEM1_I,BAA705_H_S1_I,BBE,Y,Research Project,U,28/07/2016 13:57:56,0,SEM01,S,25,BAA705|1|H|SEM01|1,0,T1SM,TSBE,173998
BAA705_H_SEM2_I,BAA705_H_S2_I,BBE,Y,Research Project,U,28/07/2016 13:57:56,0,SEM02,S,25,BAA705|1|H|SEM02|1,0,T1SM,TSBE,174000
BAA705_H_SPR_I,BAA705_H_S5_I,BBE,Y,Research Project,U,28/07/2016 13:57:56,0,SPR03,S,25,BAA705|1|H|SPR03|1,0,T1SM,TSBE,174002
BAA706_H_SPR_I,BAA706_H_S5_I,BBE,Y,Workplace Project,U,28/07/2016 13:57:56,0,SPR03,S,25,BAA706|1|H|SPR03|1,0,T1SM,TSBE,174010
BAA708_H_SEM1_I,BAA708_H_S1_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA708|1|H|SEM01|1,0,T1SM,TSBE,174018
BAA708_H_SEM2_I,BAA708_H_S2_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA708|1|H|SEM02|1,0,T1SM,TSBE,174019
BAA708_H_SPR_I,BAA708_H_S5_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SPR03,S,12.5,BAA708|1|H|SPR03|1,0,T1SM,TSBE,174020
BAA709_H_SEM1_I,BAA709_H_S1_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM01,S,25,BAA709|1|H|SEM01|1,0,T1SM,TSBE,174021
BAA709_H_SEM2_I,BAA709_H_S2_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SEM02,S,25,BAA709|1|H|SEM02|1,0,T1SM,TSBE,174022
BAA709_H_SPR_I,BAA709_H_S5_I,BBE,Y,Corporate Internship,U,28/07/2016 13:57:56,0,SPR03,S,25,BAA709|1|H|SPR03|1,0,T1SM,TSBE,174023
BAA710_H_WIN_I,BAA710_H_S4_I,BBE,Y,Data Analysis and Management,U,28/07/2016 13:57:56,0,WIN01,S,12.5,BAA710|1|H|WIN01|1,0,T1SM,TSBE,174024
BAA711_H_SEM1_I,BAA711_H_S1_I,BBE,Y,Workplace Attributes,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA711|1|H|SEM01|1,0,T1SM,TSBE,174026
BAA712_V_SEM1_I,BAA712_V_S1_I,BBE,Y,Health Sector Strategic Management,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA712|1|V|SEM01|1,0,T1SM,TSBE,174027
BAA714_V_SEM1_I,BAA714_V_S1_I,BBE,Y,Financial Management in Health,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA714|1|V|SEM01|1,0,T1SM,TSBE,174028
BAA729_H_SEM1_I,BAA729_H_S1_I,BBE,Y,IREX,U,28/07/2016 13:57:56,0,11P03,S,12.5,BAA729|1|H|11P03|1,0,T1SM,TSBE,174036
BAA729_H_SPR_I,BAA729_H_S5_I,BBE,Y,IREX,U,28/07/2016 13:57:56,0,SPR03,S,12.5,BAA729|1|H|SPR03|1,0,T1SM,TSBE,174037
BAA729_H_WIN_I,BAA729_H_S4_I,BBE,Y,IREX,U,28/07/2016 13:57:56,0,WIN03,S,12.5,BAA729|1|H|WIN03|1,0,T1SM,TSBE,174038
BAA730_V_SEM1_I,BAA730_V_S1_I,BBE,Y,Comparative Health Care Systems,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA730|1|V|SEM01|1,0,T1SM,TSBE,174039
BAA731_V_SEM2_I,BAA731_V_S2_I,BBE,Y,Australian Health Law & Ethics,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA731|1|V|SEM02|1,0,T1SM,TSBE,174040
BAA732_V_SEM2_I,BAA732_V_S2_I,BBE,Y,Epidemiology and Statistics,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA732|1|V|SEM02|1,0,T1SM,TSBE,174041
BAA733_V_SEM2_I,BAA733_V_S2_I,BBE,Y,Public Sector Governance,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA733|1|V|SEM02|1,0,T1SM,TSBE,174042
BAA734_V_SEM1_I,BAA734_V_S1_I,BBE,Y,"Activity-Based Funding, Casemix and Data Quality",U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA734|1|V|SEM01|1,0,T1SM,TSBE,174043
BAA735_V_SEM2_I,BAA735_V_S2_I,BBE,Y,Health Data & Information Analysis,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BAA735|1|V|SEM02|1,0,T1SM,TSBE,174045
BAA737_V_SEM1_I,BAA737_V_S1_I,BBE,Y,Workplace Project A,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BAA737|1|V|SEM01|3,0,T1SM,TSBE,174049
BEA109_H_SEM1_I,BEA109_H_S1_I,BBE,Y,Introduction to Quantitative Methods,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA109|1|H|SEM01|1,0,T1SM,TSBE,176031
BEA109_H_SEM2_I,BEA109_H_S2_I,BBE,Y,Introduction to Quantitative Methods,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA109|1|H|SEM02|1,0,T1SM,TSBE,176033
BEA109_L_SEM1_I,BEA109_L_S1_I,BBE,Y,Introduction to Quantitative Methods,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA109|1|L|SEM01|1,0,T1SM,TSBE,176035
BEA109_L_SEM2_I,BEA109_L_S2_I,BBE,Y,Introduction to Quantitative Methods,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA109|1|L|SEM02|1,0,T1SM,TSBE,176036
BEA109_W_SEM1_I,BEA109_W_S1_I,BBE,Y,Introduction to Quantitative Methods,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA109|1|W|SEM01|1,0,T1SM,TSBE,176029
BEA109_W_SEM2_I,BEA109_W_S2_I,BBE,Y,Introduction to Quantitative Methods,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA109|1|W|SEM02|1,0,T1SM,TSBE,176030
BEA111_H_SEM1_I,BEA111_H_S1_I,BBE,Y,Principles of Economics 1,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA111|1|H|SEM01|1,0,T1SM,TSBE,176039
BEA111_L_SEM1_I,BEA111_L_S1_I,BBE,Y,Principles of Economics 1,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA111|1|L|SEM01|1,0,T1SM,TSBE,176043
BEA111_W_SEM1_I,BEA111_W_S1_I,BBE,Y,Principles of Economics 1,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA111|1|W|SEM01|1,0,T1SM,TSBE,176037
BEA112_H_SEM2_I,BEA112_H_S2_I,BBE,Y,Principles of Finance,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA112|1|H|SEM02|1,0,T1SM,TSBE,176045
BEA121_H_SEM2_I,BEA121_H_S2_I,BBE,Y,Principles of Economics 2,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA121|1|H|SEM02|1,0,T1SM,TSBE,176048
BEA121_L_SEM2_I,BEA121_L_S2_I,BBE,Y,Principles of Economics 2,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA121|1|L|SEM02|1,0,T1SM,TSBE,176049
BEA121_W_SEM2_I,BEA121_W_S2_I,BBE,Y,Principles of Economics 2,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA121|1|W|SEM02|1,0,T1SM,TSBE,176047
BEA140_H_SEM2_I,BEA140_H_S2_I,BBE,Y,Quantitative Methods,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA140|4|H|SEM02|1,0,T1SM,TSBE,176052
BEA140_L_SEM2_I,BEA140_L_S2_I,BBE,Y,Quantitative Methods,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA140|4|L|SEM02|1,0,T1SM,TSBE,176056
BEA140_W_SEM2_I,BEA140_W_S2_I,BBE,Y,Quantitative Methods,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA140|4|W|SEM02|1,0,T1SM,TSBE,176050
BEA142_H_SEM1_I,BEA142_H_S1_I,BBE,Y,Quantitative Economic Analysis,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA142|1|H|SEM01|1,0,T1SM,TSBE,176058
BEA200_H_SEM1_I,BEA200_H_S1_I,BBE,Y,Intermediate Microeconomics,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA200|2|H|SEM01|1,0,T1SM,TSBE,176059
BEA202_H_SEM1_I,BEA202_H_S1_I,BBE,Y,International Economics,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA202|1|H|SEM01|1,0,T1SM,TSBE,176060
BEA220_H_SEM2_I,BEA220_H_S2_I,BBE,Y,Intermediate Macroeconomics,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA220|1|H|SEM02|1,0,T1SM,TSBE,176061
BEA236_H_SEM2_I,BEA236_H_S2_I,BBE,Y,Thinking Strategically: The Competitive Edge,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA236|1|H|SEM02|1,0,T1SM,TSBE,176062
BEA242_H_SEM1_I,BEA242_H_S1_I,BBE,Y,Introduction to Econometrics,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA242|1|H|SEM01|1,0,T1SM,TSBE,176063
BEA286_H_SEM1_I,BEA286_H_S1_I,BBE,Y,Investment Analysis,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA286|1|H|SEM01|1,0,T1SM,TSBE,176065
BEA300_H_SEM2_I,BEA300_H_S2_I,BBE,Y,Microeconomic Theory and Policy,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA300|1|H|SEM02|1,0,T1SM,TSBE,176067
BEA305_H_SEM2_I,BEA305_H_S2_I,BBE,Y,Industrial Organisation,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA305|2|H|SEM02|1,0,T1SM,TSBE,176068
BEA306_H_SEM2_I,BEA306_H_S2_I,BBE,Y,Economics of Human Resources,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA306|1|H|SEM02|1,0,T1SM,TSBE,176069
BEA307_H_SEM1_I,BEA307_H_S1_I,BBE,Y,Special Topics in Economics and Finance,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA307|1|H|SEM01|1,0,T1SM,TSBE,176070
BEA307_H_SEM2_I,BEA307_H_S2_I,BBE,Y,Special Topics in Economics and Finance,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA307|1|H|SEM02|1,0,T1SM,TSBE,176071
BEA307_H_SPR_I,BEA307_H_S5_I,BBE,Y,Special Topics in Economics and Finance,U,28/07/2016 13:57:56,0,SPR03,S,12.5,BEA307|1|H|SPR03|1,0,T1SM,TSBE,176072
BEA307_H_WIN_I,BEA307_H_S4_I,BBE,Y,Special Topics in Economics and Finance,U,28/07/2016 13:57:56,0,WIN02,S,12.5,BEA307|1|H|WIN02|1,0,T1SM,TSBE,176073
BEA308_H_SEM2_I,BEA308_H_S2_I,BBE,Y,Environmental and Resource Economics,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA308|1|H|SEM02|1,0,T1SM,TSBE,176074
BEA309_H_SEM2_I,BEA309_H_S2_I,BBE,Y,International Finance,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA309|1|H|SEM02|1,0,T1SM,TSBE,176075
BEA320_H_SEM1_I,BEA320_H_S1_I,BBE,Y,Macroeconomic Theory and Policy,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA320|1|H|SEM01|1,0,T1SM,TSBE,176077
BEA321_H_SEM1_I,BEA321_H_S1_I,BBE,Y,Banking and Financial Institutions,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA321|1|H|SEM01|1,0,T1SM,TSBE,176078
BEA325_H_SEM1_I,BEA325_H_S1_I,BBE,Y,Prices and Profits,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA325|1|H|SEM01|1,0,T1SM,TSBE,176080
BEA332_H_SEM1_I,BEA332_H_S1_I,BBE,Y,Evaluating Alternatives,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA332|1|H|SEM01|1,0,T1SM,TSBE,176081
BEA342_H_SEM2_I,BEA342_H_S2_I,BBE,Y,Econometrics,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA342|1|H|SEM02|1,0,T1SM,TSBE,176082
BEA343_H_SEM1_I,BEA343_H_S1_I,BBE,Y,Corporate Finance,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA343|1|H|SEM01|1,0,T1SM,TSBE,176084
BEA380_H_SEM2_I,BEA380_H_S2_I,BBE,Y,Derivative Securities,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA380|1|H|SEM02|1,0,T1SM,TSBE,176086
BEA470_H_SEM1_I,BEA470_H_S1_I,BBE,Y,Microeconomics,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA470|1|H|SEM01|1,0,T1SM,TSBE,176089
BEA471_H_SEM1_I,BEA471_H_S1_I,BBE,Y,Macroeconomics,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA471|1|H|SEM01|1,0,T1SM,TSBE,176090
BEA472_H_SEM1_I,BEA472_H_S1_I,BBE,Y,Econometrics,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA472|1|H|SEM01|1,0,T1SM,TSBE,176091
BEA473_H_SEM1_I,BEA473_H_S1_I,BBE,Y,Dissertation Economics,U,28/07/2016 13:57:56,0,SEM01,S,50,BEA473|1|H|SEM01|1,0,T1SM,TSBE,176092
BEA473_H_SEM2_I,BEA473_H_S2_I,BBE,Y,Dissertation Economics,U,28/07/2016 13:57:56,0,SEM02,S,50,BEA473|1|H|SEM02|1,0,T1SM,TSBE,176093
BEA474_H_SEM1_I,BEA474_H_S1_I,BBE,Y,Special Topics in Economics,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA474|1|H|SEM01|1,0,T1SM,TSBE,176094
BEA475_H_SEM1_I,BEA475_H_S1_I,BBE,Y,Finance,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA475|1|H|SEM01|1,0,T1SM,TSBE,176095
BEA602_H_SEM2_I,BEA602_H_S2_I,BBE,Y,Derivatives,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA602|1|H|SEM02|1,0,T1SM,TSBE,174055
BEA651_H_SEM1_I,BEA651_H_S1_I,BBE,Y,Corporate Finance,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA651|1|H|SEM01|1,0,T1SM,TSBE,174056
BEA652_H_SEM1_I,BEA652_H_S1_I,BBE,Y,Investment Analysis,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA652|1|H|SEM01|1,0,T1SM,TSBE,174057
BEA653_H_SEM2_I,BEA653_H_S2_I,BBE,Y,Applied Quantitative Finance,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA653|1|H|SEM02|1,0,T1SM,TSBE,174058
BEA674_H_SEM1_I,BEA674_H_S1_I,BBE,Y,Data and Business Decision Making,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA674|1|H|SEM01|1,0,T1SM,TSBE,174059
BEA674_H_SEM2_I,BEA674_H_S2_I,BBE,Y,Data and Business Decision Making,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA674|1|H|SEM02|1,0,T1SM,TSBE,174061
BEA683_H_SEM1_I,BEA683_H_S1_I,BBE,Y,Economics for Managers,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA683|1|H|SEM01|1,0,T1SM,TSBE,174066
BEA683_H_SEM2_I,BEA683_H_S2_I,BBE,Y,Economics for Managers,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA683|1|H|SEM02|1,0,T1SM,TSBE,174068
BEA703_H_SEM2_I,BEA703_H_S2_I,BBE,Y,International Trade,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA703|1|H|SEM02|1,0,T1SM,TSBE,174072
BEA705_H_SEM2_I,BEA705_H_S2_I,BBE,Y,Financial Institutions and Markets,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BEA705|1|H|SEM02|1,0,T1SM,TSBE,174074
BEA706_H_SEM1_I,BEA706_H_S1_I,BBE,Y,International Financial Management,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BEA706|1|H|SEM01|1,0,T1SM,TSBE,174075
BFA103_H_SEM1_I,BFA103_H_S1_I,BBE,Y,Accounting and Financial Decision Making,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BFA103|2|H|SEM01|1,0,T1SM,TSBE,176132
BFA103_H_SEM2_I,BFA103_H_S2_I,BBE,Y,Accounting and Financial Decision Making,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BFA103|2|H|SEM02|1,0,T1SM,TSBE,176135
BFA103_L_SEM1_I,BFA103_L_S1_I,BBE,Y,Accounting and Financial Decision Making,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BFA103|2|L|SEM01|1,0,T1SM,TSBE,176137
BFA103_W_SEM1_2,BFA103_W_S1_2,BBE,Y,Accounting and Financial Decision Making,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BFA103|2|W|SEM01|2,0,T1SM,TSBE,176130
BFA103_W_SEM1_I,BFA103_W_S1_I,BBE,Y,Accounting and Financial Decision Making,U,28/07/2016 13:57:56,0,SEM01,S,12.5,BFA103|2|W|SEM01|1,0,T1SM,TSBE,176129
BFA104_H_SEM2_I,BFA104_H_S2_I,BBE,Y,Accounting Context and Method,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BFA104|2|H|SEM02|1,0,T1SM,TSBE,176140
BFA104_L_SEM2_I,BFA104_L_S2_I,BBE,Y,Accounting Context and Method,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BFA104|2|L|SEM02|1,0,T1SM,TSBE,176143
BFA104_W_SEM2_I,BFA104_W_S2_I,BBE,Y,Accounting Context and Method,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BFA104|2|W|SEM02|1,0,T1SM,TSBE,176139
BFA113_H_SEM2_I,BFA113_H_S2_I,BBE,Y,Accounting and Financial Decision Making-UTAS College,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BFA113|1|H|SEM02|1,0,T1SM,TSBE,176148
BFA113_L_SEM2_I,BFA113_L_S2_I,BBE,Y,Accounting and Financial Decision Making-UTAS College,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BFA113|1|L|SEM02|1,0,T1SM,TSBE,176150
BFA113_W_SEM2_I,BFA113_W_S2_I,BBE,Y,Accounting and Financial Decision Making-UTAS College,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BFA113|1|W|SEM02|1,0,T1SM,TSBE,176146
BFA141_H_SEM2_I,BFA141_H_S2_I,BBE,Y,Commercial Transactions,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BFA141|2|H|SEM02|1,0,T1SM,TSBE,176153
BFA141_L_SEM2_I,BFA141_L_S2_I,BBE,Y,Commercial Transactions,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BFA141|2|L|SEM02|1,0,T1SM,TSBE,176157
BFA141_W_SEM2_I,BFA141_W_S2_I,BBE,Y,Commercial Transactions,U,28/07/2016 13:57:56,0,SEM02,S,12.5,BFA141|2|W|SEM02|1,0,T1SM,TSBE,176151
